status,report,source,chars
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000047-193-R.-Buckminster-Fuller-A-MaverickDesigner-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/193-R. Buckminster Fuller A MaverickDesigner.md,8928
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000048-75-Books-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/75-Books.md,7736
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000049-85-Typography-and-book-design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/85-Typography and book design.md,8109
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000050-368-Advertising-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/368-Advertising.md,8633
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000051-233-EXPOSICION-DE-LA-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/233-EXPOSICION DE LA.md,8251
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000052-235-SUPLEMENTO-DE-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/235-SUPLEMENTO DE.md,9339
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000053-350-Graphic-design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/350-Graphic design.md,8431
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000054-179-Books-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/179-Books.md,7642
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000055-251-The-emergence-of-private-enterprise-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/251-The emergence of private enterprise.md,8511
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000056-284-Commercial-art-and-book-design-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/284-Commercial art and book design.md,8291
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000057-27-The-Bauhaus-in-Dessau-and-BerlinThe-Gropius-years-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/27-The Bauhaus in Dessau and BerlinThe Gropius years.md,8502
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000058-20-Books-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/20-Books.md,7426
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000059-276-Furniture-and-domestic-goods-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/276-Furniture and domestic goods.md,8414
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000060-309-The-Six-Arrows-of-the-1930s-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/309-The Six Arrows of the 1930s.md,8413
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000061-321-Palestine-under-the-British-mandate-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/321-Palestine under the British mandate.md,8702
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000062-329-Syria-and-Lebanon-under-the-Ottomansand-the-French-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/329-Syria and Lebanon under the Ottomansand the French.md,8461
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000063-340-Syria-and-Lebanon-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/340-Syria and Lebanon.md,7055
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000064-77-Articles-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/77-Articles.md,7638
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000065-344-East-and-West-Africa-From-CraftProduction-to-Manuf-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/344-East and West Africa From CraftProduction to Manuf.md,8512
created,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B90000066-353-Tourism-graphics-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/353-Tourism graphics.md,8781
