status,report,source,score,margin
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/179-Books.md,0.2737,-0.0204
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/251-The emergence of private enterprise.md,0.3904,0.0766
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/284-Commercial art and book design.md,0.3642,0.0348
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1031-Uruguay-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/268-Uruguay.md,0.7268,0.4326
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/27-The Bauhaus in Dessau and BerlinThe Gropius years.md,0.4708,0.1918
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/20-Books.md,0.2664,-0.0264
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/276-Furniture and domestic goods.md,0.5376,0.2664
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1042-Quebec-Handicraft-Revival-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/278-The Quebec handicraft revival.md,0.6867,0.3734
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/309-The Six Arrows of the 1930s.md,0.4934,0.1945
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/321-Palestine under the British mandate.md,0.5353,0.2402
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/329-Syria and Lebanon under the Ottomansand the French.md,0.5323,0.2345
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1098-Proto-industrialization-infrastructure-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/330-Proto-industrialization and infrastructure.md,0.6159,0.1989
mapped,00-books-result/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/B1107-Egypt-report.md,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/339-Egypt.md,0.7260,0.4711
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/340-Syria and Lebanon.md,0.4006,0.0090
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/77-Articles.md,0.3721,0.0148
needs_new_report,,00-books/World History Of Design - Volume 2_ World War I To World War -- Victor Margolin/344-East and West Africa From CraftProduction to Manuf.md,0.4302,0.0902
