版本编号,文献编号,原版出版年份,所用版本年份,中文译本信息,不同译本差异,推荐使用版本,引用页码版本,备注
ED00084,B3199,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/Ades：《Photomontage》_02_preface_Dawn_Ades___Photomontage___Pre.md
ED00085,B3201,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/Ades：《Photomontage》_03_body_DURCHLICHT_ZUR_NACHT___LAS_OCH.md
ED00086,B3202,,,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Ades：《Photomontage》/Ades：《Photomontage》_04_bibliography_Index.md
ED00087,B3203,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/01-Title Page.md
ED00088,B3204,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/02-About the Author.md
ED00089,B3205,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/03-Our School of Applied Art (1897).md
ED00090,B3206,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/04-Christmas Exhibition in the Austrian Museum (1897).md
ED00091,B3207,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/05-Gentlemen’s Fashion (1898).md
ED00092,B3208,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/06-Gentlemen’s Hats (1898).md
ED00093,B3209,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/07-Footwear (1898).md
ED00094,B3210,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/08-The New Style and the Bronze Industry (1898).md
ED00095,B3211,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/09-The Potemkin City (1898).md
ED00096,B3212,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/10-To Our Young Architects (1898).md
ED00097,B3213,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/11-Ladies’ Fashion (1898).md
ED00098,B3214,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/12-The Old and New Direction in Architecture (1898).md
ED00099,B3215,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/13-Building Materials (1898).md
ED00100,B3216,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/14-The Principle of Cladding (1898).md
ED00101,B3217,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/15-Underwear (1898).md
ED00102,B3218,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/16-Furniture (1898).md
ED00103,B3219,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/17-Chairs (1898).md
ED00104,B3220,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/18-Glass and China (1898).md
ED00105,B3221,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/19-Ornament and Crime (1908).md
ED00106,B3222,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/20-Matters of Viennese Architecture (1910).md
ED00107,B3223,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/21-Rules for Those Building in the Mountains (1913).md
ED00108,B3224,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/22-Hands Off! (1917).md
ED00109,B3225,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/23-Learn a New Way of Dwelling! (1921).md
ED00110,B3226,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/24-Arnold Schönberg and His Contemporaries (1924).md
ED00111,B3227,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/25-On Thrift (1924).md
ED00112,B3228,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/26-Epilogue ‘Critique of Ornament’ by Joseph Masheck.md
ED00113,B3229,2019,2019,待核,待核,仓库 Markdown 当前版本,Markdown 段落定位；纸本页码待核,00-books/Adolf Loos：《Ornament and Crime》，2019/27-Bibliography.md
